iso3,role,name,party
CAN,foreign,Mélanie Joly,Liberal Party
CAN,defense,Bill Blair,Liberal Party
CAN,economy,Chrystia Freeland,Liberal Party
CAN,interior,Dominic LeBlanc,Liberal Party
USA,foreign,Marco Rubio,Republican Party
USA,defense,Pete Hegseth,Republican Party
USA,economy,Scott Bessent,Republican Party
USA,interior,Kristi Noem,Republican Party
MEX,foreign,Juan Ramón de la Fuente,Morena
MEX,defense,Ricardo Trevilla Trejo,
MEX,economy,Marcelo Ebrard,Morena
MEX,interior,Rosa Icela Rodríguez,Morena
BLZ,foreign,Francis Fonseca,People's United Party
BLZ,defense,Florencio Marin Jr.,People's United Party
BLZ,economy,John Briceño,People's United Party
CRI,foreign,Arnoldo André Tinoco,
CRI,economy,Francisco Gamboa Soto,
CRI,interior,Mario Zamora Cordero,
SLV,foreign,Alexandra Hill Tinoco,Nuevas Ideas
SLV,defense,René Merino Monroy,
SLV,economy,María Luisa Hayem,Nuevas Ideas
GTM,foreign,Carlos Ramiro Martínez,
GTM,defense,Henry Sáenz Ramos,
GTM,interior,Francisco Jiménez Irungaray,
HND,foreign,Eduardo Enrique Reina,Libre
HND,defense,José Manuel Zelaya,Libre
HND,interior,Tomás Vaquero,Libre
NIC,foreign,Denis Moncada,Sandinista National Liberation Front
NIC,defense,Rosa Adelina Barahona,Sandinista National Liberation Front
NIC,interior,María Amelia Coronel,Sandinista National Liberation Front
PAN,foreign,Javier Martínez-Acha,
PAN,economy,Felipe Chapman,
PAN,interior,José Raúl Mulino,
ATG,foreign,E.P. Chet Greene,Antigua and Barbuda Labour Party
ATG,economy,Gaston Browne,Antigua and Barbuda Labour Party
ATG,interior,Steadroy Benjamin,Antigua and Barbuda Labour Party
BHS,foreign,Frederick Mitchell,Progressive Liberal Party
BHS,economy,Philip Davis,Progressive Liberal Party
BHS,interior,Wayne Munroe,Progressive Liberal Party
BRB,foreign,Kerrie Symmonds,Barbados Labour Party
BRB,economy,Mia Mottley,Barbados Labour Party
BRB,interior,Wilfred Abrahams,Barbados Labour Party
CUB,foreign,Bruno Rodríguez Parrilla,Communist Party of Cuba
CUB,defense,Álvaro López Miera,Communist Party of Cuba
CUB,interior,Lázaro Alberto Álvarez Casas,Communist Party of Cuba
DMA,foreign,Vince Henderson,Dominica Labour Party
